"Date","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status"
"10 Apr 2019","Warren","Address available on request, Warren","$70,000"," 1"," 2",354.566666666667,482.306,"Sold"
"09 Apr 2019","Narromine","35 MERINGO STREET, Narromine","$117,000"," 1"," 4",306.483333333333,413.407,"Sold"
"09 Apr 2019","Sutton","68 Spoonbill Crescent, Sutton","$99,000"," 1"," 2",160.366666666667,267.479,"Sold"
"08 Apr 2019","Euston","55 Perry Street, Euston","$171,000"," 1"," 3",566.833333333333,930.463,"Sold"
"08 Apr 2019","Broken Hill","174 Hebbard Street, Broken Hill","$90,000"," 1"," 3",747.5,1126.84,"Sold"
"05 Apr 2019","Narromine","28 FIFTH AVENUE, Narromine","$134,500"," 1"," 3",306.483333333333,413.407,"Sold"
"03 Apr 2019","Willow Tree","14-16 Learmonth Street, Willow Tree","$77,500"," 1"," 2",231.95,322.933,"Sold"
"02 Apr 2019","Broken Hill","160 Piper Street, Broken Hill","$115,000"," 1"," 3",747.5,1126.84,"Sold"
"02 Apr 2019","Eugowra","59 Broad Street, Eugowra","$84,000"," 1"," 3",251.216666666667,322.68,"Sold"
"30 Mar 2019","Uralla","2 Prince Avenue, Uralla","$155,000"," 1"," 2",322.916666666667,442.423,"Sold"
"30 Mar 2019","North Albury","332 Fallon Street, North Albury","$147,000"," 1"," 3",325.583333333333,548.233,"Sold"
"30 Mar 2019","West Wyalong","22 Dumaresq Street, West Wyalong","$140,000"," 1"," 3",310,489.378,"Sold"
"29 Mar 2019","Guyra","8 Tenterden Street, Guyra","$170,000"," 1"," 2",365.133333333333,501.665,"Sold"
"29 Mar 2019","Taree","23 Spence Street, Taree","$160,000"," 1"," 2",204.333333333333,302.981,"Sold"
"29 Mar 2019","Kandos","15 Campbell St, Kandos","$160,000"," 1"," 4",173.6,214.224,"Sold"
"29 Mar 2019","Broken Hill","160 Newton St, Broken Hill","$135,000"," 1"," 3",747.5,1126.84,"Sold"
"28 Mar 2019","West Wyalong","14 Maitland Street, West Wyalong","$140,000"," 1"," 2",310,489.378,"Sold"
"28 Mar 2019","Gilgandra","35 Myrtle St, Gilgandra","$80,000"," 1"," 3",311.166666666667,422.231,"Sold"
"27 Mar 2019","Cobar","14 Snelson Street, Cobar","$140,000"," 1"," 3",461.4,669.21,"Sold"
