"","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km."
"1137","Springfield","1/399 GEORGE STREET, Deniliquin","$110,000"," 1"," 2",66.4333333333333,70.3
"1138","Cumnock","Address available on request, Urbenville","$149,950"," 1"," 3",234.65,297.163
"1139","Oberon","55 Ferrier Street, Narrandera","$190,000"," 1"," 3",152.283333333333,172.362
"1140","Broken Hill","60 Bettington Street, Merriwa","$170,000"," 1"," 3",747.5,1126.84
"1141","Broken Hill","67 Lynn Street, Boggabri","Awaiting Price Guide"," 1"," 2",747.5,1126.84
"1142","Broken Hill","Address available on request, Cootamundra","$112,000"," 1"," 1",747.5,1126.84
"1143","Aberdeen","65 Malpas Street, Guyra","$165,000"," 1"," 3",178.466666666667,251.816
"1144","Lockhart","13 George Wilson Ave, Wee Waa","$135,000"," 1"," 2",319.516666666667,519.498
"1145","Pooncarie","9 Wall Ave, Cootamundra","$155,000"," 1"," 3",703,1137.758
"1146","Broken Hill","41 Chantilly Street, Narrandera","$160,000"," 2"," 3",747.5,1126.84
"1147","Coonamble","41 Chantilly Street, Narrandera","$160,000"," 2"," 3",371.333333333333,517.207
"1148","Broken Hill","8 Cypress Place, Cobar","NOW $169,000"," 1"," 3",747.5,1126.84
"1149","South Grafton","126 Byron
Street, Inverell","Awaiting Price Guide"," 1"," 6",380.516666666667,597.104
"1150","Turramurra","114  Rose Street, Wee Waa","$99,000"," 1"," 1",28.3,23.022
"1151","Broken Hill","Holiday Cabins Spring Drive, Mulwala","From $105,000"," 2"," 4",747.5,1126.84
"1152","Coonamble","403 Cummins Lane, Broken Hill","$77,000"," 1"," 3",371.333333333333,517.207
"1153","Broken Hill","Unit 11 Sweetwater Drive, Henty","Reduced price to $160,000"," 1"," 2",747.5,1126.84
"1154","Scone","30/1 Rivergum On the Murray, Barham","From $80,000"," 1"," 1",191.116666666667,265.882
"1155","Kooringal","755 Beryl Street, Broken Hill","$115,000"," 1"," 3",275,455.478
"1156","Broken Hill","20 Frank Street, Barham","$135,000"," 1"," 3",747.5,1126.84
"1157","Port Macquarie","48 Eiraben Street, Gilgandra","$100,000"," 1"," 2",245.05,374.344
"1158","South Grafton","20 Oak Street, Moree","$130,000"," 1"," 5",380.516666666667,597.104
"1159","Winston Hills","91 Queen Street, Warialda","$159,000"," 1"," 3",11.8333333333333,8.122
"1160","Broken Hill","172B Sandon Street, South Guyra","$125,000"," 1"," 3",747.5,1126.84
"1161","Kelso","54 Whiteley Street, Wellington","$120,000"," 1"," 3",147.9,180.4
"1162","Springfield","1 Aerodrome Rd, Lightning Ridge","$85,000"," 1"," 4",66.4333333333333,70.3
"1163","Cumnock","192 Iodide Street, Broken Hill","$112,000"," 1"," 3",234.65,297.163
"1164","Oberon","764 Brady Street, Broken Hill","$110,000"," 1"," 2",152.283333333333,172.362
"1165","Broken Hill","35 Bradley Street, Cobar","$149,000"," 1"," 2",747.5,1126.84
"1166","Broken Hill","84  Dandaloo St, Trangie","$143,000"," 2"," 3",747.5,1126.84
"1167","Broken Hill","52  Mitchell Street, Wee Waa","$169,000"," 2"," 3",747.5,1126.84
"1168","Aberdeen","130 DANDALOO STREET, Narromine","$150,000"," 1"," 1",178.466666666667,251.816
"1169","Lockhart","Address available on request, Elands","$50,000.00"," 1"," 1",319.516666666667,519.498
"1170","Pooncarie","316 Balo Street, Moree","$146,000"," 1"," 3",703,1137.758
"1171","Broken Hill","24 William Street, Inverell","$160,000"," 1"," 3",747.5,1126.84
