"","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km."
"151","Broken Hill","93 Talmoi Road, Garah","$150,000"," 1"," 3",747.5,1126.84
"152","Coonamble","27 Williams Avenue, Cootamundra","$139,000"," 1"," 2",371.333333333333,517.207
"153","Broken Hill","117/26 Swimming Creek Rd, Nambucca Heads","$129,000"," 1"," 2",747.5,1126.84
"154","Scone","17 Farnell, Euabalong","$45,000"," 1"," 3",191.116666666667,265.882
"155","Kooringal","57 Dalgetty Street, Narrandera","$149,000"," 1"," 3",275,455.478
"156","Broken Hill","27 Conadilly Street, Gunnedah","$209,500"," 1"," 3",747.5,1126.84
"157","Port Macquarie","39 Bendemeer Street, Bundarra","$129,000"," 1"," 3",245.05,374.344
"158","South Grafton","6 Kennard Street, Wellington","$165,000"," 1"," 3",380.516666666667,597.104
"159","Winston Hills","2/35 Susanne Street, South Tamworth","AUCTION - Unless Sold Prior"," 1"," 2",11.8333333333333,8.122
"160","Broken Hill","37 Hilmer Avenue, Mossy Point","Auction"," 1"," 3",747.5,1126.84
"161","Kelso","28 BLAKE STREET, Pallamallawa","$90,000"," 1"," 2",147.9,180.4
"162","Springfield","122/2231 Pacific Highway, Heatherbrae","$153,000"," 1"," 2",66.4333333333333,70.3
"163","Cumnock","70 Orange Street, Parkes","$150,000"," 1"," 3",234.65,297.163
"164","Oberon","74 Market Street, Warialda","$145,000"," 1"," 2",152.283333333333,172.362
"165","Broken Hill","81/2231 pacific highway, Heatherbrae","$120,000"," 1"," 2",747.5,1126.84
"166","Broken Hill","15 Bourke Street, Cobar","$115,000"," 1"," 2",747.5,1126.84
"167","Broken Hill","3 Karabar Street, Queanbeyan","Contact Agent"," 1"," 2",747.5,1126.84
"168","Aberdeen","291 HARFLEUR STREET, Deniliquin","$149,000"," 1"," 3",178.466666666667,251.816
"169","Lockhart","191 Ryan Street, South Grafton","AUCTION 08/06/19"," 1"," 3",319.516666666667,519.498
"170","Pooncarie","37 morrison Street, Cobar","Auction"," 1"," 3",703,1137.758
"171","Broken Hill","10 Green Street, Tamworth","$175,000"," 1"," 3",747.5,1126.84
"172","Coonamble","23 Forbes Rd, Parkes","Expressions of Interest"," 1"," 1",371.333333333333,517.207
"173","Broken Hill","22 Kingfisher Crescent, Arrawarra","$99,000"," 1"," 2",747.5,1126.84
"174","South Grafton","1 Graf Street, Condobolin","Auction"," 2"," 2",380.516666666667,597.104
"175","Turramurra","47 Cossa Street, Tamworth","$145,000"," 1"," 3",28.3,23.022
"176","Broken Hill","14 Queen Street, Barmedman","$65,000"," 1"," 3",747.5,1126.84
"177","Coonamble","67 Warialda Road, Inverell","$169,000"," 1"," 2",371.333333333333,517.207
"178","Broken Hill","Address available on request, Tomakin","$145,000"," 1"," 2",747.5,1126.84
"179","Scone","5A Gill Street, Bonalbo","$160,000"," 1"," 2",191.116666666667,265.882
"180","Kooringal","10 Cross, Glen Innes","$120,000"," 1"," 2",275,455.478
"181","Broken Hill","432/1 Oleander Street, Canton Beach","$85,000"," 1"," 2",747.5,1126.84
"182","Port Macquarie","33 Oxford Street, Forbes","Auction"," 1"," 1",245.05,374.344
"183","South Grafton","129 Farnell Street, Forbes","Auction"," 1"," 1",380.516666666667,597.104
"184","Winston Hills","114 Healeys Lane, Glen Innes","$175,000"," 1"," 1",11.8333333333333,8.122
"185","Broken Hill","214 William Street, Hay","$125,000"," 1"," 2",747.5,1126.84
"186","Kelso","1 MIMOSA STREET, Coolamon","AUCTION"," 1"," 3",147.9,180.4
"187","Springfield","4 Donald Lane, Glencoe","$100,000"," 1"," 1",66.4333333333333,70.3
"188","Cumnock","14 Park Street, Ardlethan","$89,000"," 1"," 2",234.65,297.163
"189","Oberon","114 BROWN STREET, Boggabilla","$28,000"," 1"," 4",152.283333333333,172.362
"190","Broken Hill","9 Alldis Street, Condobolin","$130,000"," 1"," 2",747.5,1126.84
"191","Broken Hill","78 Coree Street, Finley","$125,000"," 1"," 3",747.5,1126.84
"192","Broken Hill","75 Mitchell Street, Bourke","This home is priced to sell at $99,000"," 1"," 4",747.5,1126.84
"193","Aberdeen","61 Young Street, Oaklands","$60,000"," 1"," 2",178.466666666667,251.816
"194","Lockhart","49 Ferrier Street, Narrandera","$140,000"," 1"," 3",319.516666666667,519.498
"195","Pooncarie","18 Young Street, Deepwater","$105,000"," 1"," 1",703,1137.758
"196","Broken Hill","144/40 Shoalhaven Heads Road, Shoalhaven Heads","$145,000"," 1"," 2",747.5,1126.84
"197","Coonamble","18 North Street, Boggabilla","Auction"," 1"," 3",371.333333333333,517.207
"198","Broken Hill","14/1a Cutler Drive, Wyong","$128,000"," 1"," 2",747.5,1126.84
"199","South Grafton","13 Sussex Street, West Tamworth","$49,000 negotiable"," 1"," 3",380.516666666667,597.104
"200","Turramurra","334 AUBURN STREET, Moree","$169,000"," 2"," 4",28.3,23.022
"201","Broken Hill","26 George Street, Gunnedah","For Sale $170,000-$185,000"," 1"," 3",747.5,1126.84
"202","Coonamble","218 Lowry Street, North Albury","$175,000"," 1"," 3",371.333333333333,517.207
"203","Broken Hill","12 Vernon Street, South Kempsey","$150,000"," 1"," 3",747.5,1126.84
"204","Scone","21 Currawong Avenue, Harrington","$69,000"," 1"," 1",191.116666666667,265.882
"205","Kooringal","2647 GLEN INNES, Glen Innes","$50,000"," 1"," 1",275,455.478
"206","Broken Hill","21 Weemabah St, Trangie","$40,000"," 1"," 3",747.5,1126.84
"207","Port Macquarie","78 Goran Street, Curlewis","$179,000"," 1"," 3",245.05,374.344
"208","South Grafton","4 Banksia Avenue, Leeton","$160,000"," 1"," 3",380.516666666667,597.104
"209","Winston Hills","28 Rodgers St, Kandos","$140,000"," 1"," 3",11.8333333333333,8.122
"210","Broken Hill","2 Mitchell Avenue, Khancoban","$130,000"," 1"," 3",747.5,1126.84
"211","Kelso","73 Anne Street, Moree","$69,000"," 1"," 3",147.9,180.4
"212","Springfield","2816 Bates Road, Torrington","$175,000"," 1"," 2",66.4333333333333,70.3
"213","Cumnock","12 Grantham Street, Boggabri","$160,000"," 1"," 3",234.65,297.163
"214","Oberon","48 Edward Street, Corowa","$137,000"," 1"," 2",152.283333333333,172.362
"215","Broken Hill","12/31 Kalaroo Road, Redhead","Price Guide $90,000 - $99,000"," 1"," 1",747.5,1126.84
"216","Broken Hill","243 Iodide Street, Broken Hill","$165,000"," 1"," 2",747.5,1126.84
"217","Broken Hill","381 BOSTON STREET, Moree","$149,000"," 1"," 3",747.5,1126.84
"218","Aberdeen","175 Chapple Street, Broken Hill","AUCTION ONSITE SATURDAY 11 MAY 2019 @ 11AM"," 3"," 4",178.466666666667,251.816
"219","Lockhart","2/282 Wick St, Deniliquin","For Sale $182,500"," 1"," 2",319.516666666667,519.498
"220","Pooncarie","19/2 Evans Road, Canton Beach","$169,000"," 1"," 1",703,1137.758
"221","Broken Hill","7/598 Summerland Way, Grafton","$155,000"," 1"," 2",747.5,1126.84
"222","Coonamble","72 Bathurst Street, Cobar","$155,000"," 1"," 3",371.333333333333,517.207
"223","Broken Hill","90 Darby Road, Spring Ridge","$165,000"," 2"," 3",747.5,1126.84
"224","South Grafton","23/186 Chinderah Bay Road, Chinderah","$135,000"," 1"," 2",380.516666666667,597.104
"225","Turramurra","10 Long Street, Warialda","$130,000"," 1"," 3",28.3,23.022
"226","Broken Hill","32/491  River Street, West Ballina","$130,000"," 1"," 1",747.5,1126.84
"227","Coonamble","20 Parc Guell Ave, Campbelltown","$749,950"," 2"," 4",371.333333333333,517.207
"228","Broken Hill","15 Eurimie Street, Coonamble","$65,000 ONO"," 1"," 3",747.5,1126.84
"229","Scone","1 Townsend Street, Coonamble","UNDER OFFER!"," 1"," 2",191.116666666667,265.882
"230","Kooringal","171 Chapple Street, Broken Hill","AUCTION ONSITE SATURDAY 11 MAY @ 12NOON"," 1"," 2",275,455.478
"231","Broken Hill","106 Clarinda street, Parkes","$175,000"," 1"," 3",747.5,1126.84
"232","Port Macquarie","137 Brae Street, Inverell","$169,000"," 1"," 6",245.05,374.344
"233","South Grafton","17 Scott Street, Cassilis","$167,500"," 1"," 2",380.516666666667,597.104
"234","Winston Hills","12 Reedy Street, Batlow","$150,000"," 1"," 3",11.8333333333333,8.122
"235","Broken Hill","26 Muriel Street, Ungarie","$120,000"," 1"," 2",747.5,1126.84
"236","Kelso","120 Rose Street, Wee Waa","$79,000"," 1"," 2",147.9,180.4
"237","Springfield","Address available on request, Leeton","$55,500"," 1"," 1",66.4333333333333,70.3
"238","Cumnock","419 Williams Street, Broken Hill","AUCTION ONSITE SATURDAY 11 MAY @ 10AM"," 1"," 2",234.65,297.163
"239","Oberon","67 Cooke Drive, Googong","Contact Agent"," 2"," 5",152.283333333333,172.362
"240","Broken Hill","47 Mulyan Street, Cowra","$175,000"," 1"," 3",747.5,1126.84
"241","Broken Hill","45 Noyeau Street, Woodstock","$189,000"," 1"," 2",747.5,1126.84
"242","Broken Hill","124/8 Hearnes Lake Road, The Pines, Woolgoolga","$160,000"," 1"," 2",747.5,1126.84
"243","Aberdeen","8 Myall St, Binnaway","$145,000"," 1"," 3",178.466666666667,251.816
"244","Lockhart","106 Simpson, Wellington","$119,000"," 1"," 3",319.516666666667,519.498
"245","Pooncarie","U20/52 Wellington Drive, Nambucca Heads","$170,000 - $180,000"," 1"," 2",703,1137.758
"246","Broken Hill","18 Young St, Deepwater","$105,000"," 1"," 1",747.5,1126.84
"247","Coonamble","69 Tocumwal Street, Finley","$98,000"," 1"," 3",371.333333333333,517.207
"248","Broken Hill","39 Morish Street, Broken Hill","$90,000"," 1"," 2",747.5,1126.84
"249","South Grafton","352 Williams Street, Broken Hill","AUCTION"," 1"," 2",380.516666666667,597.104
"250","Turramurra","16/4 Gimberts Road, Morisset","$175,000"," 1"," 2",28.3,23.022
"251","Broken Hill","65 Cherry Street, Barraba","Contact Agent"," 1"," 3",747.5,1126.84
"252","Coonamble","436 HAY ROAD, Deniliquin","$160,000"," 1"," 3",371.333333333333,517.207
"253","Broken Hill","33 Namoi Street, Coonamble","$160,000"," 1"," 3",747.5,1126.84
"254","Scone","49 Pierce Street, Wellington","$140,000"," 1"," 3",191.116666666667,265.882
"255","Kooringal","7 Clerk Street, Bundarra","$125,000"," 1"," 1",275,455.478
"256","Broken Hill","14 Sowerby Avenue, Muswellbrook","$110,000"," 1"," 3",747.5,1126.84
"257","Port Macquarie","20 Carramar Avenue, Jordan Springs","Brand New Luxury | Price Guide $850,000 - $899,000"," 2"," 4",245.05,374.344
"258","South Grafton","81-85 Cobalt Street, Broken Hill","AUCTION ONSITE SATURDAY 11TH MAY @ 1PM"," 3"," 7",380.516666666667,597.104
"259","Winston Hills","749 Beryl Street, Broken Hill","AUCTION ON SITE SATURDAY 15 JUNE @ 10AM"," 1"," 3",11.8333333333333,8.122
"260","Broken Hill","22 Banksia Avenue, Leeton","$160,000"," 1"," 2",747.5,1126.84
"261","Kelso","73 Tudor Street, Bourke","$155,000"," 1"," 3",147.9,180.4
"262","Springfield","Address available on request, Armidale","Auction Guide $149,000"," 1"," 3",66.4333333333333,70.3
"263","Cumnock","63 Langham Street, Ganmain","$125,000"," 1"," 4",234.65,297.163
"264","Oberon","22 Wilga Street, West Wyalong","Auction"," 1"," 3",152.283333333333,172.362
"265","Broken Hill","53 491 River Street, Ballina","$49,000"," 1"," 1",747.5,1126.84
"266","Broken Hill","96 Taylor St, Glen Innes","$170,000"," 1"," 3",747.5,1126.84
"267","Broken Hill","84 Wyman Street, Broken Hill","AUCTION ONSITE SATURDAY 4 MAY @ 11AM"," 1"," 3",747.5,1126.84
"268","Aberdeen","77 Tocumwal Street, Finley","$169,000"," 1"," 3",178.466666666667,251.816
"269","Lockhart","30 Davis St, Berrigan","ASKING $159,000 ono"," 1"," 3",319.516666666667,519.498
"270","Pooncarie","35 Budd St, Berrigan","CLASSIC $145,000"," 1"," 3",703,1137.758
"271","Broken Hill","5 Bramall Street, Cowra","By Negotiation"," 1"," 2",747.5,1126.84
"272","Coonamble","30 William Street, Delegate","$149,000"," 1"," 3",371.333333333333,517.207
"273","Broken Hill","28 Simmons Place, Kelso","$139,000"," 1"," 3",747.5,1126.84
"274","South Grafton","7 Rupert Street, Narrandera","$125,000"," 1"," 3",380.516666666667,597.104
"275","Turramurra","35 Albury Street, Ashford","$169,000"," 2"," 3",28.3,23.022
"276","Broken Hill","36 Park Street EMMAVILLE, Glen Innes","$149,500"," 1"," 2",747.5,1126.84
"277","Coonamble","473 McNeil Road, Leeton","UNDER OFFER"," 1"," 3",371.333333333333,517.207
"278","Broken Hill","Address available on request, Urbenville","$90,000"," 2"," 3",747.5,1126.84
"279","Scone","11 JAEGER Avenue, Gunnedah","$179,000"," 1"," 3",191.116666666667,265.882
"280","Kooringal","7 Tarakan Avenue, Muswellbrook","FIRST NATIONAL $150,000"," 1"," 3",275,455.478
"281","Broken Hill","17 Baker Street, Inverell","$159,000"," 1"," 5",747.5,1126.84
"282","Port Macquarie","33 Wilson St, Brewarrina","Asking price $100,000"," 1"," 3",245.05,374.344
"283","South Grafton","105 Williams Lane, Broken Hill","AUCTION ONSITE SATURDAY 4TH MAY @ 10AM"," 1"," 2",380.516666666667,597.104
"284","Winston Hills","10 Forbes Street, Gooloogong","Reduced to $150,000"," 1"," 3",11.8333333333333,8.122
"285","Broken Hill","13/149 Hume Street, Goulburn","$169,000"," 1"," 2",747.5,1126.84
"286","Kelso","540 Bathurst Street, Broken Hill","$159,000"," 2"," 3",147.9,180.4
"287","Springfield","69 North Street, West Kempsey","$145,000"," 1"," 4",66.4333333333333,70.3
"288","Cumnock","39 Wolfram Street, Broken Hill","$140,000"," 1"," 2",234.65,297.163
"289","Oberon","8 Bonanza Street, Broken Hill","$130,000"," 1"," 3",152.283333333333,172.362
"290","Broken Hill","1 Emigrant Creek Broadwater Place, West Ballina","$120,000 Negotiable"," 1"," 3",747.5,1126.84
"291","Broken Hill","106 Patton Street, Broken Hill","$102,000"," 1"," 2",747.5,1126.84
"292","Broken Hill","83/1A Kalaroo Road, Redhead","$90,000"," 1"," 1",747.5,1126.84
"293","Aberdeen","3 Charles Street, Wellington","$179,800"," 2"," 4",178.466666666667,251.816
"294","Lockhart","8 Alice Street, Deepwater","$165,000"," 1"," 3",319.516666666667,519.498
"295","Pooncarie","62 Phillip Street, Carroll","$75,000"," 1"," 2",703,1137.758
"296","Broken Hill","106 HUNTER STREET, Deniliquin","$159,000"," 1"," 3",747.5,1126.84
"297","Coonamble","322 JONES AVENUE, Deniliquin","$158,000"," 1"," 2",371.333333333333,517.207
"298","Broken Hill","80 Lynn Street, Boggabri","$130,000"," 1"," 2",747.5,1126.84
"299","South Grafton","18 Momalong St, Berrigan","$129,000"," 1"," 3",380.516666666667,597.104
"300","Turramurra","30/157 The Springs Road, Sussex Inlet","$165,000"," 1"," 1",28.3,23.022
"301","Broken Hill","98 Wandobah Road, Gunnedah","Awaiting Price Guide"," 1"," 3",747.5,1126.84
"302","Coonamble","8 Railway Avenue, Wellington","$159,500"," 1"," 3",371.333333333333,517.207
"303","Broken Hill","18 Hickory Street, Leeton","$125,000"," 1"," 3",747.5,1126.84
"304","Scone","Site 82 Brooms Head Caravan Park, Brooms Head","$49,000"," 1"," 1",191.116666666667,265.882
"305","Kooringal","1A/29 Cutler Drive, Wyong","$90,000"," 1"," 1",275,455.478
"306","Broken Hill","78 Monaghan Street, Cobar","$170,000"," 1"," 3",747.5,1126.84
"307","Port Macquarie","17-19 West Street, Pooncarie","$85,000"," 2"," 3",245.05,374.344
"308","South Grafton","Address available on request, Glen Innes","$165,000"," 1"," 3",380.516666666667,597.104
"309","Winston Hills","34 Swift Street, Wellington","$160,000"," 1"," 3",11.8333333333333,8.122
"310","Broken Hill","73 Tudor St, Bourke","Asking $155,000"," 1"," 3",747.5,1126.84
"311","Kelso","12 Bogan Street, Forbes","$130,000"," 1"," 1",147.9,180.4
"312","Springfield","15/16 Anne Lane, Chinderah","$125,000"," 1"," 1",66.4333333333333,70.3
"313","Cumnock","32 Coonamble Street, Gulargambone","$94,000"," 1"," 3",234.65,297.163
"314","Oberon","Address available on request, Laurieton","$55,000"," 1"," 1",152.283333333333,172.362
"315","Broken Hill","38 Simpson Street, Wellington","$175,000"," 1"," 4",747.5,1126.84
"316","Broken Hill","66 Ferry Street, Forbes","Contact Agent"," 1"," 1",747.5,1126.84
"317","Broken Hill","129 Warne Street, Wellington","$150,000"," 1"," 3",747.5,1126.84
"318","Aberdeen","145 MERILBA STREET, Narromine","$139,000"," 1"," 2",178.466666666667,251.816
"319","Lockhart","4 Dooral St, Brewarrina","Asking price $125,000"," 1"," 4",319.516666666667,519.498
"320","Pooncarie","4/15 Industrial Close, Muswellbrook","$120,000"," 1"," 1",703,1137.758
"321","Broken Hill","71 Church Avenue, Quirindi","$120,000"," 1"," 4",747.5,1126.84
"322","Coonamble","116/88 Holdom Road, Karuah","$120000 negotiable"," 1"," 2",371.333333333333,517.207
"323","Broken Hill","4 Donald Lane, GLENCOE, Glen Innes","$100,000"," 1"," 1",747.5,1126.84
"324","South Grafton","16 Tycannah Street, Moree","$99,000"," 1"," 3",380.516666666667,597.104
"325","Turramurra","668 Beryl Street, Broken Hill","AUCTION ONSITE SAT 13 APRIL @ 10.30AM"," 1"," 3",28.3,23.022
"326","Broken Hill","48 Morish Street, Broken Hill","AUCTION ONSITE SAT 13 APRIL @ 9.30AM"," 1"," 3",747.5,1126.84
"327","Coonamble","76 Railway Ave, Coolah","$170,000"," 2"," 5",371.333333333333,517.207
"328","Broken Hill","1/10 Gundebri Street, Aberdeen","$159,000"," 1"," 2",747.5,1126.84
"329","Scone","130 Alma Street, Wee Waa","$148,000"," 1"," 3",191.116666666667,265.882
"330","Kooringal","88 Ryan Street, Broken Hill","$97,500"," 1"," 3",275,455.478
"331","Broken Hill","23 Quinn Street, West Tamworth","Offers over $164,800"," 1"," 3",747.5,1126.84
"332","Port Macquarie","31 Ebor Street, Ebor","$165,000"," 1"," 2",245.05,374.344
"333","South Grafton","10 Carolan Place, Narrandera","$110,000"," 1"," 2",380.516666666667,597.104
"334","Winston Hills","28 DE BOOS STREET, Barmedman","$110,000"," 1"," 2",11.8333333333333,8.122
"335","Broken Hill","144 Ferguson Street, Glen Innes","$170,000"," 1"," 3",747.5,1126.84
"336","Kelso","20 Sheather, Khancoban","$159,000"," 1"," 2",147.9,180.4
"337","Springfield","19 East Street, Canowindra","$149,000"," 1"," 2",66.4333333333333,70.3
"338","Cumnock","51/229 Ocean Drive, Lakewood","$125,500"," 1"," 2",234.65,297.163
"339","Oberon","160 Hawker Street, Quirindi","$100,000"," 1"," 2",152.283333333333,172.362
"340","Broken Hill","111 Railway Road, West Wyalong","$95,000"," 1"," 3",747.5,1126.84
"341","Broken Hill","7 Edghill Place, Tolland","$175,000"," 2"," 4",747.5,1126.84
"342","Broken Hill","17 to 21 Hart St, Junee","$169,000"," 1"," 3",747.5,1126.84
"343","Aberdeen","34 Bruce Street, Tolland","$149,000"," 1"," 3",178.466666666667,251.816
"344","Lockhart","Site 16c Myola Holiday Park, Callala Beach","$55,000 - $65,000"," 1"," 2",319.516666666667,519.498
"345","Pooncarie","15 Read st, Khancoban","$175,000"," 2"," 3",703,1137.758
"346","Broken Hill","10 Blacksmith Street, Cliftleigh","$165,900 to $225,900"," 2"," 4",747.5,1126.84
"347","Coonamble","12/586 River Street, Ballina","$140,000"," 1"," 2",371.333333333333,517.207
"348","Broken Hill","317a HARFLEUR STREET, Deniliquin","$130,000"," 1"," 4",747.5,1126.84
"349","South Grafton","69 Railway Parade, Henty","Awaiting Price Guide"," 1"," 2",380.516666666667,597.104
"350","Turramurra","54 Booyamurra Street, Coolah","$175,000"," 1"," 3",28.3,23.022
"351","Broken Hill","1 Macartney Street, Merriwa","$157,000"," 1"," 2",747.5,1126.84
"352","Coonamble","37 Fitzroy Street, Barraba","$140,000"," 1"," 2",371.333333333333,517.207
"353","Broken Hill","Address available on request, Lakewood","$110,000"," 1"," 2",747.5,1126.84
"354","Scone","45  Cardigan Street, Tullamore","$95,000"," 1"," 4",191.116666666667,265.882
"355","Kooringal","93 Central Park Drive, Bow Bowing","$559,950"," 1"," 4",275,455.478
"356","Broken Hill","134 Alma Street, Wee Waa","FOR SALE $160,000"," 1"," 2",747.5,1126.84
"357","Port Macquarie","453 Church Street, Hay","$150,000"," 3"," 5",245.05,374.344
"358","South Grafton","137 Little Barber Street, Gunnedah","$159,000"," 1"," 2",380.516666666667,597.104
"359","Winston Hills","14 Frederick Street, Cobar","$149,000"," 1"," 2",11.8333333333333,8.122
"360","Broken Hill","3 Askin Avenue, Barraba","$145,000"," 1"," 3",747.5,1126.84
"361","Kelso","44 McAllister Street, Finley","$135,000"," 1"," 4",147.9,180.4
"362","Springfield","29 Evelyn Street, Eugowra","$160,000"," 1"," 2",66.4333333333333,70.3
"363","Cumnock","332 BOSTON STREET, Moree","$145,000"," 1"," 2",234.65,297.163
"364","Oberon","51 Mallee Street, Barellan","$139,000"," 1"," 3",152.283333333333,172.362
"365","Broken Hill","11 Warmatta Street, Finley","$127,000"," 1"," 2",747.5,1126.84
"366","Broken Hill","324 Boston Street, Moree","$118,000"," 1"," 2",747.5,1126.84
"367","Broken Hill","89 Bogan Street, Parkes","$175,000"," 1"," 2",747.5,1126.84
"368","Aberdeen","4 Elliott Street, Narrabri","$150,000"," 2"," 4",178.466666666667,251.816
"369","Lockhart","36 Murray Street, Cootamundra","$150,000"," 1"," 3",319.516666666667,519.498
"370","Pooncarie","2 Cave Street, Ganmain","$149,000"," 1"," 3",703,1137.758
"371","Broken Hill","26 Waratah Crescent, West Albury","$159,000"," 1"," 3",747.5,1126.84
"372","Coonamble","672 Lane Lane, Broken Hill","$145,000"," 1"," 3",371.333333333333,517.207
"373","Broken Hill","127 Oakham Street, Boggabri","$149,000"," 1"," 4",747.5,1126.84
"374","South Grafton","31 Victoria Street, Red Range","$149,000"," 1"," 3",380.516666666667,597.104
"375","Turramurra","2/427 Harfleur St, Deniliquin","For Sale $145,000"," 1"," 2",28.3,23.022
"376","Broken Hill","122 Maxwell Street, Wellington","$110,000"," 1"," 3",747.5,1126.84
"377","Coonamble","27 Yarrien Street, Barham","$148,000"," 1"," 2",371.333333333333,517.207
"378","Broken Hill","106 Edwards Street, Young","Contact Agent"," 1"," 3",747.5,1126.84
"379","Scone","35 DE BOOS STREET, Barmedman","NOW $130,000"," 1"," 4",191.116666666667,265.882
"380","Kooringal","24 Boree Street, Cudal","$159,000"," 1"," 3",275,455.478
"381","Broken Hill","60 Burnett Street, Delungra","$154,000"," 1"," 3",747.5,1126.84
"382","Port Macquarie","132 Dewhurst Street, Werris Creek","$159,000"," 1"," 2",245.05,374.344
"383","South Grafton","7 Wood Street, Jerilderie","$139,000.00"," 1"," 3",380.516666666667,597.104
"384","Winston Hills","37 Adelaide Street, Moree","$65,000"," 1"," 3",11.8333333333333,8.122
"385","Broken Hill","54 Bourke Street, Cowra","$149,900"," 1"," 3",747.5,1126.84
"386","Kelso","17 North Boyd Street, Nimmitabel","$140,000"," 1"," 2",147.9,180.4
"387","Springfield","22 Drummond Street, Moree","$119,000"," 1"," 4",66.4333333333333,70.3
"388","Cumnock","7/270 Hastings River Drive, Port Macquarie","$115,000"," 1"," 2",234.65,297.163
"389","Oberon","19 Morris Street, Gilgandra","$95,000"," 1"," 2",152.283333333333,172.362
"390","Broken Hill","125 Dick Street, Deniliquin","$169,000"," 1"," 4",747.5,1126.84
"391","Broken Hill","52 Severn Street, Deepwater","$159,000"," 1"," 2",747.5,1126.84
"392","Broken Hill","12 Riddell Street, Warialda","$129,000"," 1"," 2",747.5,1126.84
"393","Aberdeen","50 Tycannah Street, Moree","$125,000"," 1"," 3",178.466666666667,251.816
"394","Lockhart","36 Cedar Crescent, Forbes","$90,000"," 1"," 3",319.516666666667,519.498
"395","Pooncarie","14 Gardinia Street, Springdale Heights","$169,000"," 1"," 3",703,1137.758
"396","Broken Hill","95/143 Nursery Road, Macksville","$160,000"," 1"," 2",747.5,1126.84
"397","Coonamble","333 Edward Street, Moree","$135,000"," 1"," 3",371.333333333333,517.207
"398","Broken Hill","84 Maybe Street, Bombala","$159,500"," 1"," 3",747.5,1126.84
"399","South Grafton","42 Tingira Avenue, West Tamworth","$135,000"," 1"," 2",380.516666666667,597.104
"400","Turramurra","Site 39 491 River Street, Ballina","$150,000"," 1"," 2",28.3,23.022
"401","Broken Hill","95 Hunter, Glen Innes","$148,000"," 1"," 2",747.5,1126.84
"402","Coonamble","34 Rodney Street, Barraba","$135,000"," 1"," 2",371.333333333333,517.207
"403","Broken Hill","8 Lachlan Street, Leeton","$175,000"," 2"," 3",747.5,1126.84
"404","Scone","38/333 Cessnock Road, Gillieston Heights","$169,000"," 1"," 2",191.116666666667,265.882
"405","Kooringal","23 Wombat Street, Young","$179,000"," 1"," 3",275,455.478
"406","Broken Hill","41 Market Street, Muswellbrook","$160,000 - $179,500"," 1"," 2",747.5,1126.84
"407","Port Macquarie","144/186 Chinderah Bay Road, Chinderah","Reduced $10,000 for quick sale, now $175,000"," 1"," 2",245.05,374.344
"408","South Grafton","63 Mertin Street, Bourke","$165,000"," 1"," 3",380.516666666667,597.104
"409","Winston Hills","Lot 149 Church Road, Lower Acacia Creek","$160,000"," 1"," 3",11.8333333333333,8.122
"410","Broken Hill","Address available on request, Stuart Town","$139,000"," 1"," 2",747.5,1126.84
"411","Kelso","Lot 37 Wonbobbie Street, Collie","$170,000"," 2"," 3",147.9,180.4
"412","Springfield","7 Carabeen Avenue, Leeton","$169,000"," 1"," 3",66.4333333333333,70.3
"413","Cumnock","15 Gossamer Street, Leeton","$158,000"," 1"," 4",234.65,297.163
"414","Oberon","11 Gordon St, Coonabarabran","$155,000"," 1"," 2",152.283333333333,172.362
"415","Broken Hill","201/36 Mumford Street, Port Macquarie","$150,000"," 1"," 2",747.5,1126.84
"416","Broken Hill","36 Grosvenor Street, Narrandera","$149,000"," 1"," 5",747.5,1126.84
"417","Broken Hill","13 Masman St, Coonabarabran","$149,500"," 1"," 3",747.5,1126.84
"418","Aberdeen","8/97 Sutton Street, Cootamundra","$170,000"," 1"," 2",178.466666666667,251.816
"419","Lockhart","22 Walter Street, Finley","$169,000"," 1"," 3",319.516666666667,519.498
"420","Pooncarie","14 Becker St, Bourke","Asking $160,000"," 1"," 3",703,1137.758
"421","Broken Hill","10 Wattle Crescent, Moree","$159,000 ROI 10.7% - 11.4%"," 1"," 3",747.5,1126.84
"422","Coonamble","92 Plover Circuit, Sutton","$145,000"," 1"," 3",371.333333333333,517.207
"423","Broken Hill","78 Barooga Street, Berrigan","$145,000"," 1"," 2",747.5,1126.84
"424","South Grafton","29 Bygoo Street, Ardlethan","$139,000"," 1"," 3",380.516666666667,597.104
"425","Turramurra","19 Durham Road, East Gresford","$125,000"," 1"," 2",28.3,23.022
"426","Broken Hill","90 DECIMUS STREET, Deniliquin","$109,000"," 1"," 3",747.5,1126.84
"427","Coonamble","V20/52 Wellington Dr, Nambucca Heads","$149,000"," 1"," 1",371.333333333333,517.207
"428","Broken Hill","2 Kenny Place, Tolland","$99,000"," 1"," 3",747.5,1126.84
"429","Scone","323 Edward Street, Moree","$89,000"," 1"," 3",191.116666666667,265.882
"430","Kooringal","334 Auburn Street, Moree","$169,000"," 2"," 4",275,455.478
"431","Broken Hill","11 Gypsum Street, Broken Hill","$119,000"," 1"," 4",747.5,1126.84
"432","Port Macquarie","14 Rivett Place, Kelso","Price Guide $169,000 - $185,000"," 1"," 2",245.05,374.344
"433","South Grafton","263 Murray Street, Finley","$95,000"," 1"," 3",380.516666666667,597.104
"434","Winston Hills","13 Headford Street, Finley","$82,000"," 1"," 3",11.8333333333333,8.122
