"X","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status","Date"
739,"Oberon","1 Howard Street, Parkes","$160,000",1,3,152.283333333333,172.362,"ForSale",NA
741,"Broken Hill","54 Monaghan Street, Cobar","NOW $95,000",1,3,747.5,1126.84,"ForSale",NA
742,"Broken Hill","7/3 Bulahdelah Way, Bulahdelah","$90,000",1,1,747.5,1126.84,"ForSale",NA
743,"Aberdeen","6 Prince Street, Junee","$159,000",2,2,178.466666666667,251.816,"ForSale",NA
744,"Lockhart","42 Bygoo Street, Ardlethan","REDUCED $125,000",1,3,319.516666666667,519.498,"ForSale",NA
745,"Pooncarie","8 Porter Street, Parkes","$180,000",1,3,703,1137.758,"ForSale",NA
746,"Broken Hill","120 Bathurst St, Brewarrina","Motivated Vendor asking $95K",1,2,747.5,1126.84,"ForSale",NA
747,"Coonamble","114 Thornton Street, Wellington","$165,000",1,3,371.333333333333,517.207,"ForSale",NA
748,"Broken Hill","98 Miller St, Gilgandra","$160,000",1,3,747.5,1126.84,"ForSale",NA
749,"South Grafton","106 Derribong Street, Peak Hill","$143,000",1,4,380.516666666667,597.104,"ForSale",NA
750,"Turramurra","36 Waugan St, Gilgandra","$165,000",1,5,28.3,23.022,"ForSale",NA
751,"Broken Hill","117/15 Quartersessions Road, Tarro","$169,000",1,2,747.5,1126.84,"ForSale",NA
752,"Coonamble","Site 10 165 Glenworth Valley Road, Mount White","$95,000",1,2,371.333333333333,517.207,"ForSale",NA
753,"Broken Hill","300 Auburn Street, Moree","$130,000",1,2,747.5,1126.84,"ForSale",NA
754,"Scone","2 Arunga Street, Moree","$60,000",1,3,191.116666666667,265.882,"ForSale",NA
755,"Kooringal","115 Stephen Street, Warialda","$159,000",1,4,275,455.478,"ForSale",NA
756,"Broken Hill","Address available on request, Tullamore","$165,000",2,4,747.5,1126.84,"ForSale",NA
757,"Port Macquarie","99 Coree Street, Finley","$132,000",1,3,245.05,374.344,"ForSale",NA
758,"South Grafton","47 Willans Street, Narrandera","$175,000",1,3,380.516666666667,597.104,"ForSale",NA
759,"Winston Hills","2/274 WICK STREET, Deniliquin","$169,000",1,3,11.8333333333333,8.122,"ForSale",NA
760,"Broken Hill","3/37 Mayfield Avenue, Armidale","$140,000",1,2,747.5,1126.84,"ForSale",NA
761,"Kelso","167/12 Slaughterhouse Road, Milton","$120,000",1,2,147.9,180.4,"ForSale",NA
762,"Springfield","30 Bingara Road, Moree","$85,000",1,4,66.4333333333333,70.3,"ForSale",NA
763,"Cumnock","20/30 Holden Street, Tweed Heads South","$165,000",1,2,234.65,297.163,"ForSale",NA
764,"Oberon","8 Arthur Street, Barraba","$159,000",1,3,152.283333333333,172.362,"ForSale",NA
765,"Broken Hill","10 Norfolk Avenue, Broken Hill","$85,000",1,3,747.5,1126.84,"ForSale",NA
766,"Broken Hill","355 Albert Street, Deniliquin","REDUCED TO $95,000",1,3,747.5,1126.84,"ForSale",NA
767,"Broken Hill","62 Yapunyah Street, Barellan","$55,000",1,1,747.5,1126.84,"ForSale",NA
768,"Aberdeen","69 Wells Street, Finley","$159,000",1,3,178.466666666667,251.816,"ForSale",NA
769,"Lockhart","96 Market Street, Warialda","$139,000 REDUCED",2,3,319.516666666667,519.498,"ForSale",NA
770,"Pooncarie","Site 35 586 River Street, West Ballina","$55,000",1,1,703,1137.758,"ForSale",NA
772,"Coonamble","Address available on request, Glen Innes","$168,000",1,3,371.333333333333,517.207,"ForSale",NA
773,"Broken Hill","23 Cassiterite Street, Ardlethan","$119,000",1,3,747.5,1126.84,"ForSale",NA
774,"South Grafton","139 Ferguson Street, Glen Innes","$160,000",1,1,380.516666666667,597.104,"ForSale",NA
775,"Turramurra","21 Cassiterite Street, Ardlethan","$135,000",1,3,28.3,23.022,"ForSale",NA
776,"Broken Hill","7 Pages Terrace, Coonamble","$89,000",1,4,747.5,1126.84,"ForSale",NA
777,"Coonamble","Lot 101 Pembroke Road, Cassilis","$150,000",1,2,371.333333333333,517.207,"ForSale",NA
778,"Broken Hill","80 Anne Street, Moree","$139,000",1,2,747.5,1126.84,"ForSale",NA
779,"Scone","30 Beechworth Street, Whitton, Leeton","$115,000",1,2,191.116666666667,265.882,"ForSale",NA
780,"Kooringal","171 Gypsum Street, Broken Hill","$89,000",1,3,275,455.478,"ForSale",NA
781,"Broken Hill","3/281 Harfleur Street, Deniliquin","$165,000",1,2,747.5,1126.84,"ForSale",NA
782,"Port Macquarie","101 Mahonga Street, Jerilderie","$125,000.00",1,3,245.05,374.344,"ForSale",NA
783,"South Grafton","33 Dudley Street, Ashford","$79,000",1,3,380.516666666667,597.104,"ForSale",NA
784,"Winston Hills","34 Wood Street, Inverell","$179,000",1,2,11.8333333333333,8.122,"ForSale",NA
785,"Broken Hill","32 Pryor Street, Quirindi","$160,000",1,3,747.5,1126.84,"ForSale",NA
786,"Kelso","48 Martyn Street, Ashford","$175,000",1,2,147.9,180.4,"ForSale",NA
787,"Springfield","107 Wrigley Street, Gilgandra","$80,000",1,4,66.4333333333333,70.3,"ForSale",NA
788,"Cumnock","5 Bridget Street, Finley","$175,000.00",1,3,234.65,297.163,"ForSale",NA
790,"Broken Hill","12 Short Street, Glen Innes","$165,000",1,2,747.5,1126.84,"ForSale",NA
791,"Broken Hill","86 Woodenbong Road, Bonalbo","$145,000",1,2,747.5,1126.84,"ForSale",NA
792,"Broken Hill","7 Maule Lane, Coonamble","$110,000",1,5,747.5,1126.84,"ForSale",NA
793,"Aberdeen","24 Stonham Street, Forbes","$130,000",1,3,178.466666666667,251.816,"ForSale",NA
794,"Lockhart","75/2129 Nelson Bay Road, Williamtown","$120,000",1,2,319.516666666667,519.498,"ForSale",NA
795,"Pooncarie","94 DERRIBONG STREET, Trangie","$169,000",1,2,703,1137.758,"ForSale",NA
796,"Broken Hill","16 DeBoos Street, Barmedman","REDUCED $140,000",1,3,747.5,1126.84,"ForSale",NA
797,"Coonamble","8 Wilga Street, Coonamble","$65,000",1,3,371.333333333333,517.207,"ForSale",NA
798,"Broken Hill","156 Merton Street, Boggabri","$150,000",1,4,747.5,1126.84,"ForSale",NA
799,"South Grafton","6 Mogille St, Tottenham","$145,000",1,3,380.516666666667,597.104,"ForSale",NA
800,"Turramurra","70 Wandobah Road, Gunnedah","$175,000",1,3,28.3,23.022,"ForSale",NA
801,"Broken Hill","42 Wolfe Street, Nimmitabel","$175,000",1,2,747.5,1126.84,"ForSale",NA
